UserID	Duration (minutes)
4	9
38	8
90	10
94	29
101	21
163	29
164	27
196	27
201	30
213	30
216	25
304	13
336	20
464	16
466	26
520	27
554	11
568	28
607	26
653	25
664	20
671	26
683	11
760	9
864	26
918	25
940	17
985	9
1039	30
1071	17
1073	8
1076	19
1116	15
1136	24
1138	28
1175	17
1231	12
1304	27
1310	15
1327	27
1337	21
1363	29
1388	29
1407	24
1412	28
1430	13
1467	27
1468	28
1508	26
1538	18
1540	27
1560	9
1626	10
1631	22
1758	15
1767	29
1788	25
1808	12
1824	11
1848	17
1907	10
1918	13
1926	25
1973	16
1989	15
2002	9
2048	14
2056	24
2091	9
2139	26
2176	17
2192	12
2265	26
2354	8
2384	20
2442	23
2451	14
2619	24
2670	26
2680	28
2698	14
2713	16
2717	9
2736	26
3040	9
3052	13
3091	30
3118	19
3120	13
3214	10
3218	16
3234	25
3241	25
3242	27
3268	8
3348	11
3359	22
3408	11
3431	26
3436	16
3507	22
3509	30
3518	14
3606	30
3643	26
3647	21
3648	27
3719	11
3764	29
3801	12
3828	17
3839	18
3862	22
3897	23
4027	24
4100	25
4120	27
4150	14
4300	10
4322	13
4356	8
4357	8
4398	27
4484	17
4525	21
4531	30
4535	22
4570	29
4603	20
4655	12
4661	12
4669	30
4703	24
4758	26
4794	24
4839	10
4859	18
4936	9
4966	21
5023	14
5068	30
5143	14
5223	22
5227	17
5259	18
5261	30
5264	28
5308	27
5408	13
5415	28
5474	23
5492	10
5500	18
5501	23
5520	27
5545	8
5630	17
5639	10
5655	26
5665	29
5669	26
5706	13
5757	21
5895	10
5939	21
5950	21
5958	12
6007	18
6048	8
6078	22
6322	8
6331	13
6405	19
6432	27
6451	12
6454	14
6540	12
6658	16
6796	16
6819	18
6856	9
6857	30
6891	29
6898	13
6966	24
6967	17
6972	27
6983	10
6993	14
7020	14
7028	20
7068	27
7071	14
7108	13
7120	8
7158	23
7270	24
7289	11
7304	20
7320	28
7328	16
7346	30
7352	15
7372	28
7396	18
7512	18
7514	23
7549	15
7567	23
7573	26
7578	16
7591	28
7599	18
7629	29
8143	17
8172	10
8177	13
8179	19
8195	29
8201	13
8206	30
8232	12
8236	22
8255	14
8271	25
8300	29
8358	20
8360	22
8507	27
8545	17
